PstID,PlatformID,Posts
1,1,7202
2,1,3338
3,1,6935
4,1,890
5,1,1828
6,1,6738
7,1,5598
8,1,4963
9,1,2037
10,1,4104
11,1,7330
12,1,674
13,1,27045
14,1,948
15,1,536
16,1,3126
17,1,1405
18,1,6343
19,1,4352
20,1,1181
21,1,5271
22,1,2047
23,1,8211
24,1,3540
25,1,47
26,1,4837
27,1,2344
28,1,10549
29,1,6815
30,1,5212
31,1,7322
32,1,16952
33,1,695
34,1,17942
35,1,1259
36,1,1684
37,1,1824
38,1,3563
39,1,3530
40,1,868
41,1,291
42,1,1989
43,1,54207
44,1,3253
45,1,1537
46,1,1875
47,1,2861
48,1,1155
49,1,2286
50,1,50977
51,1,2534
52,1,540
53,1,860
54,1,1833
55,1,275
56,1,1218
57,1,2959
58,1,345
59,1,1092
60,1,1005
61,1,7055
62,1,784
63,1,2888
64,1,1365
65,1,17509
66,1,5135
67,1,8135
68,1,1881
69,1,829
70,1,2443
71,1,9867
72,1,818
73,1,22777
74,1,1165
75,1,2734
76,1,19991
77,1,30005
78,1,2695
79,1,299
80,1,2023
81,1,851
82,1,3296
83,1,1302
84,1,875
85,1,1689
86,1,12633
87,1,666
88,1,3152
89,1,3396
90,1,5583
91,1,1176
92,1,425
93,1,4575
94,1,3559
95,1,2137
96,1,13063
97,1,2228
98,1,3756
99,1,841
100,1,11300
1,4,16563
2,4,31371
3,4,11715
4,4,10632
5,4,18921
6,4,3808
7,4,720
8,4,9919
9,4,33650
10,4,24074
11,4,46030
12,4,35699
13,4,5429
14,4,78179
15,4,4365
16,4,15015
17,4,68350
18,4,4003
19,4,42222
20,4,5636
21,4,17802
22,4,480222
23,4,7908
24,4,8571
25,4,14172
26,4,38173
27,4,32546
28,4,2655
29,4,69352
30,4,12895
31,4,12116
32,4,41372
33,4,43151
34,4,83921
35,4,4957
36,4,13580
37,4,125678
38,4,58295
39,4,18359
40,4,131699
41,4,10346
42,4,14275
43,4,1805
44,4,5650
45,4,349709
46,4,4720
47,4,41859
48,4,50423
49,4,7634
50,4,2498
51,4,8371
52,4,11685
53,4,140809
54,4,15094
55,4,9657
56,4,75684
57,4,4646
58,4,6035
59,4,8214
60,4,13548
61,4,9754
62,4,3690
63,4,1909
64,4,17092
65,4,67561
66,4,10867
67,4,5298
68,4,1853
69,4,5211
70,4,67046
71,4,22254
72,4,368
73,4,665
74,4,314249
75,4,15465
76,4,14385
77,4,164650
78,4,40926
79,4,8513
80,4,33104
81,4,43401
82,4,3343
83,4,892566
84,4,3691
85,4,6050
86,4,6570
87,4,9322
88,4,4702
89,4,12244
90,4,1187
91,4,486592
92,4,1973
93,4,10671
94,4,73111
95,4,110222
96,4,5575
97,4,6298
98,4,58368
99,4,6106
100,4,2572
1,5,17306
2,5,786
3,5,91157
4,5,4498
5,5,726
6,5,1008
7,5,701
8,5,63027
9,5,6569
10,5,472
11,5,5575
12,5,397
13,5,3933
14,5,56189
15,5,1787
16,5,247
17,5,970
18,5,2312
19,5,60751
20,5,7873
21,5,2371
22,5,297
23,5,506
24,5,39182
25,5,401
26,5,87220
27,5,18617
28,5,140
29,5,195974
30,5,3606
31,5,3179
32,5,23856
33,5,252
34,5,146
35,5,552
36,5,3286
37,5,189
38,5,1959
39,5,13775
40,5,476
41,5,541
42,5,3507
43,5,4540
44,5,521
45,5,118
46,5,1310
47,5,318
48,5,3960
49,5,644
50,5,179359
51,5,705
52,5,79
53,5,1980
54,5,1119
55,5,1196
56,5,14402
57,5,1875
58,5,4177
59,5,157
60,5,206
61,5,287
62,5,420
63,5,178
64,5,163
65,5,1348
66,5,846
67,5,185002
68,5,600
69,5,934
70,5,7128
71,5,538
72,5,5198
73,5,224084
74,5,1725
75,5,1892
76,5,626
77,5,2197
78,5,3094
79,5,190
80,5,237651
81,5,557
