PrfID,Profile,PlatformID
27,<U+0001F451> ,1
100,<U+0001F49B>julia menu garcia<U+0001F49B> ,2
32,<U+0410>nokhina Liza ,2
55,<U+041C><U+0430><U+0448><U+0430> <U+0438> <U+041C><U+0435><U+0434><U+0432><U+0435><U+0434><U+044C>,5
25,<U+0425><U+041E><U+041C><U+042F><U+041A> ,2
6,<U+273F> Kids Diana Show,5
30,<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8> ,4
19,<U+C6D0><U+C815><U+B9E8> WonJeong ,2
11,5 Minute Crafts,5
77,9GAG Go Fun The World ,1
86,ARRahman ,4
49,A4,5
29,Aaj Tak,5
73,ABP NEWS,5
50,ABS CBN Entertainment,5
4,Addison Rae ,2
72,Adele ,4
12,AdinRoss ,3
84,adrilatinatv ,2
68,Akshay Kumar ,1
32,Akshay Kumar ,4
47,Alan Walker,5
13,alanzoka ,3
38,Alexby11 ,3
54,Alia Bhatt <U+0001F90D><U+2600><U+FE0F> ,1
96,Alia Bhatt ,4
66,Alicia Keys ,4
83,Alinity ,3
64,Amit Shah ,4
29,Amitabh Bachchan ,4
37,Amouranth ,3
82,Andres Iniesta ,4
66,Anitta <U+0001F3A4> ,1
88,Anushka Sharma ,4
74,AnushkaSharma1588 ,1
34,Ariana Grande,5
8,Ariana Grande ,1
68,arianagrande ,2
56,Arishfa Khan<U+0001F981> ,2
70,aroyitt ,3
80,Arvind Kejriwal ,4
99,ashish chanchlani vines,5
36,Asmongold ,3
94,AuronPlay,5
2,auronplay ,3
24,avani ,2
52,aXoZer ,3
100,Ayu Tingting ,1
34,BabyAriel ,2
93,BabyBus   Kids Songs and Cartoons,5
39,Badabun,5
26,badgalriri ,1
15,BANGTANTV,5
1,Barack Obama ,4
18,Barbie ,1
26,BBC Breaking News ,4
45,BBC News (World) ,4
88,Bella <U+0001F98B> ,1
3,Bella Poarch ,2
47,Benji Krol ,2
9,Beyonce ,1
79,BIGHIT MUSIC ,4
18,Bill Gates ,4
33,BILLIE EILISH ,1
100,BillionSurpriseToys   English Kids Songs and Cartoon,5
48,biyin  ,3
12,BLACKPINK,5
51,blackpinkofficial ,2
99,bratishkinoff ,3
31,BREEZY ,1
21,Brent Rivera ,2
44,BRIANDA <U+0001F496> ,2
43,BRIGHT SIDE,5
20,Britney Spears ,4
35,Bruno Mars ,4
59,BTS official ,1
16,BTS ,2
41,BTS official ,4
16,Bugha ,3
40,buster ,3
63,camila ,1
66,Camilo ,2
18,Canal KondZilla,5
80,CaptainPuffy ,3
62,CaptainSparklez ,3
29,Carlos Feria ,2
63,CarryMinati,5
82,Celina Myers ,2
30,champagnepapi ,1
1,charli Damelio ,2
95,Chelsea FC ,4
57,Chris Brown ,4
81,Chris Hemsworth ,1
97,Christoph ,2
23,ChuChu TV Nursery Rhymes and Kids Songs,5
33,Clix ,3
14,CNN Breaking News ,4
2,Cocomelon   Nursery Rhymes,5
87,Coldplay ,4
26,Colors TV,5
69,Conan OBrien ,4
94,Corpse Husband,3
32,coscu ,3
2,Cristiano Ronaldo ,1
6,Cristiano Ronaldo ,4
87,CVS 3D Rhymes and Kids Songs,5
9,cznburak ,2
50,D A R I A NR O J A S ,2
62,Daddy Yankee,5
75,Daniel LaBelle ,2
75,DanTDM ,3
45,David Beckham ,1
76,DAVID DOBRIK ,2
55,Deepika Padukone ,1
73,Deepika Padukone ,4
25,Demi Lovato ,1
21,Demi Lovato ,4
88,Dina ,2
66,DisguisedToast,3
95,disha patani (paatni) <U+0001F98B> ,1
10,dixie ,2
87,Doja Cat ,2
86,Domingo ,3
12,Dominik ,2
90,DonaldDucc <U+0001F986> ,2
89,Dream,5
11,Dream,3
43,Drizzy ,4
35,DUA LIPA ,1
22,Dude Perfect,5
6,Dwayne Johnson ,1
33,Ed Sheeran,5
28,Ellen DeGeneres ,1
10,Ellen DeGeneres ,4
5,Elon Musk ,4
35,Elraenn ,3
51,elrubiusOMG,5
20,ElSpreen ,3
85,EmadGG ,3
28,EminemMusic,5
58,Emma Watson ,1
68,Emma Watson ,4
78,Era Ays ,2
14,ESL CSGO ,3
40,ESPN ,4
95,ESPN ,2
57,Evelone192,3
28,Faker ,3
25,Falloneth ,4
32,FC Barcelona ,1
37,FC Barcelona ,4
42,Felipe Neto,5
58,Fernanda,2
41,Fernanfloo,5
60,flighthouse ,2
87,FolagorLives ,3
88,forsen ,3
91,Fox News ,4
22,Fresh,3
36,Gal Gadot ,1
85,Galinha Pintadinha,5
31,Gaules ,3
79,Gemita ,3
82,GENIAL,5
19,GeorgeNotFound ,3
48,Get Movies,5
44,Gigi Hadid ,1
13,Goldmines,5
77,Google ,4
40,Gordon Ramsay ,2
29,Gotaga ,3
58,GR6 EXPLODE,5
91,Greekgodx ,3
44,Harry Styles ,4
77,HasanAbi ,3
60,Hillary Clinton ,4
58,Hrithik Roshan ,4
42,Huddy ,2
17,HYBE LABELS,5
44,IamCristinini ,3
61,Ignacia Antonia<U+0001F451> ,2
80,IndiaTV,5
40,Infobells   Hindi,5
1,Instagram ,1
54,Instagram ,4
98,ironmouse ,3
100,itsHafu ,3
73,IzakOOO ,3
96,J Balvin ,1
53,J ,1
98,jacksepticeye,5
47,jacksepticeye ,3
98,Jacob Sartorius ,2
70,Jacqueline Fernandez ,1
92,JaggerPrincesa ,3
74,Jahrein ,3
33,James Charles ,2
14,Jason Derulo ,2
96,JAY CROES<U+0001F4A0> ,2
59,JD Pantoja ,2
74,JeanCarlo Leon ,2
16,Jennifer Lopez ,1
96,Jingle Toons,5
69,JISOO<U+0001F90D> ,1
51,Joe Biden ,4
26,Joe ,2
23,JoJo Siwa ,2
80,Josh Richards ,2
54,juansguarnizo ,3
38,JuegaGerman,5
