Profile,Platform
5Minute Crafts,Youtube
9GAG Go Fun The World ,Instagram
A R Rahman ,Twitter
A4,Youtube
Aaj Tak,Youtube
ABP NEWS,Youtube
ABSCBN Entertainment,Youtube
Addison Rae ,Tiktok
Adele ,Twitter
AdinRoss ,Twitch
adrilatinatv ,Tiktok
Akshay Kumar ,Instagram
Akshay Kumar ,Twitter
Alan Walker,Youtube
alanzoka ,Twitch
Alexby11 ,Twitch
Alia Bhatt ,Instagram
Alia Bhatt ,Twitter
Alicia Keys ,Twitter
Alinity ,Twitch
Amit Shah ,Twitter
Amitabh Bachchan ,Twitter
Amouranth ,Twitch
Andrs Iniesta ,Twitter
Anitta ,Instagram
Anushka Sharma ,Twitter
AnushkaSharma1588 ,Instagram
Ariana Grande,Youtube
Ariana Grande ,Instagram
arianagrande ,Tiktok
Arishfa Khan,Tiktok
aroyitt ,Twitch
Arvind Kejriwal ,Twitter
ashish chanchlani vines,Youtube
Asmongold ,Twitch
AuronPlay,Youtube
auronplay ,Twitch
avani ,Tiktok
aXoZer ,Twitch
Ayu Tingting ,Instagram
BabyAriel ,Tiktok
BabyBus  Kids Songs and Cartoons,Youtube
Badabun,Youtube
badgalriri ,Instagram
BANGTANTV,Youtube
Barack Obama ,Twitter
Barbie ,Instagram
BBC Breaking News ,Twitter
BBC News (World) ,Twitter
Bella ,Instagram
Bella Poarch ,Tiktok
Benji Krol ,Tiktok
Beyonce ,Instagram
BIGHIT MUSIC ,Twitter
Bill Gates ,Twitter
BILLIE EILISH ,Instagram
BillionSurpriseToys  English Kids Songs and Cartoon,Youtube
biyin ,Twitch
BLACKPINK,Youtube
blackpinkofficial ,Tiktok
bratishkinoff ,Twitch
BREEZY ,Instagram
Brent Rivera ,Tiktok
BRIANDA ,Tiktok
BRIGHT SIDE,Youtube
Britney Spears ,Twitter
Bruno Mars ,Twitter
BTS ,Tiktok
BTS official ,Instagram
BTS_official ,Twitter
Bugha ,Twitch
buster ,Twitch
camila ,Instagram
Camilo ,Tiktok
Canal KondZilla,Youtube
CaptainPuffy ,Twitch
CaptainSparklez ,Twitch
Carlos Feria ,Tiktok
CarryMinati,Youtube
Celina Myers ,Tiktok
champagnepapi ,Instagram
charli dd amelio ,Tiktok
Chelsea FC ,Twitter
Chris Brown ,Twitter
Chris Hemsworth ,Instagram
Christoph ,Tiktok
ChuChu TV Nursery Rhymes and Kids Songs,Youtube
Clix ,Twitch
CNN Breaking News ,Twitter
Cocomelon  Nursery Rhymes,Youtube
Coldplay ,Twitter
Colors TV,Youtube
Conan OBrien ,Twitter
Corpse_Husband,Twitch
coscu ,Twitch
Cristiano Ronaldo ,Twitter
Cristiano Ronaldo ,Instagram
CVS 3D Rhymes and Kids Songs,Youtube
cznburak ,Tiktok
D A R I A NR O J A S ,Tiktok
Daddy Yankee,Youtube
Daniel LaBelle ,Tiktok
DanTDM ,Twitch
David Beckham ,Instagram
DAVID DOBRIK ,Tiktok
Deepika Padukone ,Instagram
Deepika Padukone ,Twitter
Demi Lovato ,Twitter
Demi Lovato ,Instagram
Dina ,Tiktok
DisguisedToast,Twitch
disha patani (paatni) ,Instagram
dixie ,Tiktok
Doja Cat ,Tiktok
Domingo ,Twitch
Dominik ,Tiktok
DonaldDucc ,Tiktok
Dream,Twitch
Dream,Youtube
Drizzy ,Twitter
DUA LIPA ,Instagram
Dude Perfect,Youtube
Dwayne Johnson ,Instagram
Ed Sheeran,Youtube
Ellen DeGeneres ,Twitter
Ellen DeGeneres ,Instagram
Elon Musk ,Twitter
Elraenn ,Twitch
elrubiusOMG,Youtube
ElSpreen ,Twitch
EmadGG ,Twitch
EminemMusic,Youtube
Emma Watson ,Instagram
Emma Watson ,Twitter
Era Ays ,Tiktok
ESL_CSGO ,Twitch
ESPN ,Tiktok
ESPN ,Twitter
Evelone192,Twitch
Faker ,Twitch
Fallon eth ,Twitter
FC Barcelona ,Twitter
FC Barcelona ,Instagram
Felipe Neto,Youtube
Fernanda,Tiktok
Fernanfloo,Youtube
flighthouse ,Tiktok
FolagorLives ,Twitch
forsen ,Twitch
Fox News ,Twitter
Fresh,Twitch
Gal Gadot ,Instagram
Galinha Pintadinha,Youtube
Gaules ,Twitch
Gemita ,Twitch
GENIAL,Youtube
GeorgeNotFound ,Twitch
Get Movies,Youtube
Gigi Hadid ,Instagram
Goldmines,Youtube
Google ,Twitter
Gordon Ramsay ,Tiktok
Gotaga ,Twitch
GR6 EXPLODE,Youtube
Greekgodx ,Twitch
Harry Styles  ,Twitter
HasanAbi ,Twitch
Hillary Clinton ,Twitter
Hrithik Roshan ,Twitter
Huddy ,Tiktok
HYBE LABELS,Youtube
IamCristinini ,Twitch
Ignacia Antonia,Tiktok
IndiaTV,Youtube
Infobells  Hindi,Youtube
Instagram ,Twitter
Instagram ,Instagram
ironmouse ,Twitch
itsHafu ,Twitch
IzakOOO ,Twitch
J ,Instagram
J Balvin ,Instagram
jacksepticeye,Youtube
jacksepticeye ,Twitch
Jacob Sartorius ,Tiktok
Jacqueline Fernandez ,Instagram
JaggerPrincesa ,Twitch
Jahrein ,Twitch
James Charles ,Tiktok
Jason Derulo ,Tiktok
JAY CROES,Tiktok
JD Pantoja ,Tiktok
JeanCarlo Leon ,Tiktok
Jennifer Lopez ,Instagram
Jingle Toons,Youtube
JISOO,Instagram
Joe ,Tiktok
Joe Biden ,Twitter
JoJo Siwa ,Tiktok
Josh Richards ,Tiktok
juansguarnizo ,Twitch
JuegaGerman,Youtube
Junya,Tiktok
Justin Bieber,Youtube
Justin Bieber ,Twitter
Justin Bieber ,Tiktok
Justin Bieber ,Instagram
Justin Timberlake ,Instagram
Justin Timberlake ,Twitter
Juventus ,Instagram
Kaka ,Twitter
Karim Benzema ,Instagram
karljacobs ,Twitch
KAROL G ,Instagram
Karol G ,Tiktok
karolsevillaofc ,Tiktok
Katrina Kaif ,Instagram
Katy Perry,Youtube
KATY PERRY ,Instagram
KATY PERRY ,Twitter
KEEMOKAZI ,Tiktok
Kendall ,Twitter
Kendall ,Instagram
Kevin Hart ,Instagram
Kevin Hart ,Tiktok
Kevin Hart ,Twitter
Khabane lame ,Tiktok
Khaby Lame ,Instagram
KHANDESHI MOVIES,Youtube
Khlo ,Twitter
Khloe Kardashian ,Instagram
Kika Kim ,Tiktok
Kim Kardashian ,Twitter
Kim Kardashian ,Instagram
Kimberly Loaiza,Youtube
Kimberly Loaiza ,Tiktok
KingBach ,Tiktok
Kira Kosarin ,Tiktok
Kody Antle ,Tiktok
Kourtney Kardashian ,Twitter
Kourtney Kardashian Barker ,Instagram
Kris HC ,Tiktok
Kunno ,Tiktok
kyle thomas ,Tiktok
Kylian Mbappe ,Instagram
Kylie ,Instagram
Kylie Jenner ,Twitter
La Granja de Zenon,Youtube
Lady Gaga ,Instagram
Lady Gaga ,Twitter
landonorris ,Twitch
Larissa Manoela ,Tiktok
LARRAY ,Tiktok
LeBron James ,Twitter
Lele Pons ,Tiktok
Leo Messi ,Instagram
Leonardo DiCaprio ,Instagram
Liam ,Twitter
Like Nastya,Youtube
lil nas x ,Tiktok
Lil Wayne WEEZY F ,Twitter
lilypichu,Twitch
LIRIK ,Twitch
LISA ,Instagram
LITkillah ,Twitch
Little Baby Bum  Nursery Rhymes and Kids Songs,Youtube
Liza Koshy ,Tiktok
lizzo ,Tiktok
Locklear ,Twitch
loltyler1 ,Twitch
LooLoo Kids  Nursery Rhymes and Childrens Songs,Youtube
Louis Tomlinson ,Twitter
LUCCAS NETO  LUCCAS TOON,Youtube
ludwig,Twitch
Luis Fonsi,Youtube
Luisito Comunica,Youtube
Malu Trevejo ,Tiktok
MALUMA ,Instagram
Manchester United ,Twitter
Manchester United ,Instagram
Marcelo Vieira ,Instagram
Maria Clara and JP,Youtube
Mariah Carey ,Twitter
MarkiLokurasY ,Twitch
Markiplier,Youtube
Maroon 5,Youtube
Marshall Mathers ,Twitter
Marshmello,Youtube
Marvel Entertainment ,Instagram
Masha and The Bear,Youtube
Mayichi ,Twitch
Mia K  ,Tiktok
Michael Le ,Tiktok
Michelle Obama ,Twitter
Mikecrack,Youtube
Miley Cyrus ,Twitter
Miley Cyrus ,Instagram
Millie Bobby Brown ,Instagram
miniminter ,Twitch
MissaSinfonia ,Twitch
Mizkif ,Twitch
Mohamed Salah ,Instagram
Mongraal ,Twitch
MontanaBlack88 ,Twitch
Movieclips,Youtube
Mr Bean,Youtube
MrBeast,Youtube
MrBeast ,Tiktok
MrKeroro10 ,Twitch
Naim Darrechi,Tiktok
Narendra Modi ,Instagram
Narendra Modi ,Twitter
NASA ,Twitter
NASA ,Instagram
NateHill ,Twitch
National Geographic ,Instagram
National Geographic ,Twitter
NBA ,Instagram
Neha Kakkar (Mrs  Singh) ,Instagram
netflixbrasil ,Twitter
Neymar Jr ,Twitter
Niall Horan ,Twitter
Nicki Minaj ,Twitter
NICKMERCS ,Twitch
Nihachu ,Twitch
Nike ,Instagram
Ninja ,Twitch
Nisha Guragain ,Tiktok
NJ ,Instagram
noah beck ,Tiktok
ondy mikula ,Tiktok
One Direction,Youtube
One Direction ,Twitter
Oneya Dd Amelio ,Tiktok
Oprah Winfrey ,Twitter
Others,Twitter
Others,Tiktok
Others,Instagram
Others,Youtube
Others,Youtube
Others,Tiktok
Others,Tiktok
Others,Tiktok
OverwatchLeague ,Twitch
Pink ,Twitter
PapoMC ,Twitch
Paris SaintGermain ,Instagram
Paul Labile Pogba ,Instagram
Perxitaa ,Twitch
PewDiePie,Youtube
Pewdiepie ,Twitch
Philza ,Twitch
Pinkfong Baby Shark  Kids Songs and Stories,Youtube
PlayStation ,Twitter
PMO India ,Twitter
pokimane ,Twitch
pqueen ,Twitch
Premier League ,Instagram
Premier League ,Twitter
President Biden ,Twitter
PRIYANKA ,Twitter
Priyanka ,Instagram
psg ,Tiktok
Q Park ,Tiktok
QuackityHQ ,Twitch
Raffi Ahmad and Nagita Slavina ,Instagram
Rahul Gandhi ,Twitter
RanbooLive ,Twitch
Real Madrid C F  ,Instagram
Real Madrid C F  ,Twitter
Reborn_Live ,Twitch
Reuters ,Twitter
rezendeevil,Youtube
Rihanna,Youtube
Rihanna ,Twitter
Riyaz ,Tiktok
Robert Downey Jr  Official ,Instagram
ROD,Tiktok
Rohit Sharma ,Twitter
Ronaldinho ,Twitter
Ronaldo de Assis Moreira ,Instagram
ROSE ,Tiktok
ROSe ,Instagram
Rubius ,Twitch
Ryans World,Youtube
Sachin Tendulkar ,Twitter
Salman Khan ,Instagram
Salman Khan ,Twitter
Sameeksha ,Tiktok
Savannah LaBrant ,Tiktok
Scarra ,Twitch
Selena Gomez,Youtube
Selena Gomez ,Twitter
Selena Gomez ,Tiktok
Selena Gomez ,Instagram
Sergio Ramos ,Instagram
SET India,Youtube
Shah Rukh Khan ,Twitter
Shakira,Youtube
Shakira ,Instagram
Shakira ,Twitter
Shawn Mendes,Youtube
Shawn Mendes ,Instagram
Shawn Mendes ,Twitter
Shemaroo Filmi Gaane,Youtube
shfa,Youtube
shfa2  ,Youtube
Shraddha ,Instagram
shroud ,Twitch
SLAKUN10 ,Twitch
snoopdogg ,Instagram
Sony Music India,Youtube
Sony SAB,Youtube
SpaceX ,Twitter
Spencer X ,Tiktok
Spinnin Records,Youtube
Squeezie ,Twitch
SSSniperWolf,Youtube
StableRonaldo ,Twitch
Staryuuki ,Twitch
Stokes Twins ,Tiktok
Sunny Leone ,Instagram
