Profile,Platform,Followers
Zlatan Ibrahimovic ,Instagram,55048835
Zerkaa ,Twitch,1303225
Zendaya ,Instagram,150280418
Zendaya ,Twitter,21154455
Zee TV,Youtube,63000000
Zee Music Company,Youtube,86600000
zayn ,Twitter,31040206
ZARA Official ,Instagram,52498150
Zach King ,Tiktok,68600000
Zac Efron ,Instagram,54434089
YZ ,Tiktok,46600000
YRF,Youtube,47500000
YouTube ,Twitter,75884044
YouTube,Youtube,33300000
YOLO HOUSE ,Tiktok,25500000
ye ,Twitter,30823235
Yassuo ,Twitch,1993853
xQcOW ,Twitch,4164752
WWE,Youtube,90100000
wtcN ,Twitch,1774208
Wiz Khalifa ,Twitter,36666230
Will Smith ,Tiktok,72200000
Will Smith ,Instagram,63991832
WilburSoot ,Twitch,4573443
wigofellas,Tiktok,33100000
whinderssonnunes,Youtube,43900000
Whindersson Nunes ,Instagram,58718833
Wave Music,Youtube,53400000
Voca Sabia,Youtube,43200000
Vlad and Niki,Youtube,84900000
Virginia ,Tiktok,31900000
Virender Sehwag ,Twitter,22917667
Virat Kohli ,Twitter,49308402
Virat Kohli ,Instagram,211074078
Vin Diesel ,Instagram,82187552
Victorias Secret ,Instagram,73190174
Vicens ,Twitch,1733508
VEGETTA777 ,Twitch,1323398
VEGETTA777,Youtube,33400000
Urvashi Rautela ,Instagram,53812411
Ultra Music,Youtube,28600000
UEFA Champions League ,Instagram,96634213
Twitter ,Twitter,62416599
Twitch ,Twitch,2262351
tuzelity ,Tiktok,34400000
Tubbo ,Twitch,4917815
TSM Bjergsen ,Twitch,1509304
TSeries Bhakti Sagar,Youtube,52400000
TSeries,Youtube,222000000
Trymacs ,Twitch,3069669
Trainwreckstv ,Twitch,2018898
Total Gaming,Youtube,33200000
Topper Guild ,Tiktok,28800000
tommyinnit ,Twitch,7255104
Tom Holland ,Instagram,67722305
Tirullipa ,Tiktok,28100000
Tips Official,Youtube,52700000
TimTheTatman,Twitch,6994697
TikTok India ,Tiktok,24900000
TikTok ,Tiktok,62700000
TheKAIRI78 ,Twitch,1534189
TheGrefg ,Twitch,9638800
TheEllenShow,Youtube,38300000
The Weeknd,Youtube,29100000
The Tonight Show Starring Jimmy Fallon,Youtube,29900000
The Rock ,Tiktok,52800000
The New York Times ,Twitter,53825679
The Economist ,Twitter,26853411
ThatLittlePuff ,Tiktok,27700000
Tfue ,Twitch,11145556
TEDx Talks,Youtube,35800000
Taylor Swift ,Twitter,90814615
Taylor Swift ,Instagram,221732794
Taylor Swift,Youtube,47100000
Tata Werneck ,Instagram,53806580
Sykkuno,Twitch,4033548
SwagBoyQ on IG ,Tiktok,24500000
Super Simple Songs  Kids Songs,Youtube,35200000
Sunny Leone ,Instagram,53326932
Stokes Twins ,Tiktok,31200000
Staryuuki ,Twitch,2660844
StableRonaldo  ,Twitch,2265402
SSSniperWolf,Youtube,32400000
Squeezie ,Twitch,3614934
Spinnin Records,Youtube,29600000
Spencer X ,Tiktok,55000000
SpaceX ,Twitter,24206586
Sony SAB,Youtube,70500000
Sony Music India,Youtube,52400000
snoopdogg ,Instagram,75284700
SLAKUN10 ,Twitch,4037168
shroud ,Twitch,10244388
Shraddha ,Instagram,73878089
shfa2  ,Youtube,35800000
shfa,Youtube,35800000
Shemaroo Filmi Gaane,Youtube,61300000
Shawn Mendes ,Instagram,69887832
Shawn Mendes ,Twitter,26753615
Shawn Mendes,Youtube,29500000
Shakira ,Instagram,76041310
Shakira ,Twitter,53235721
Shakira,Youtube,37100000
Shah Rukh Khan ,Twitter,42638106
SET India,Youtube,139000000
Sergio Ramos ,Instagram,52708281
Selena Gomez ,Twitter,66143411
Selena Gomez ,Tiktok,41000000
Selena Gomez ,Instagram,341579063
Selena Gomez,Youtube,30900000
Scarra ,Twitch,1594992
Savannah LaBrant ,Tiktok,29200000
Sameeksha ,Tiktok,24400000
Salman Khan ,Instagram,53372896
Salman Khan ,Twitter,44236663
Sachin Tendulkar ,Twitter,37631088
Ryans World,Youtube,32900000
Rubius ,Twitch,12524137
ROSE ,Instagram,61660597
ROSE ,Tiktok,25600000
Ronaldo de Assis Moreira ,Instagram,67646939
Ronaldinho ,Twitter,20956217
Rohit Sharma ,Twitter,20765073
ROD,Tiktok,40700000
Robert Downey Jr Official ,Instagram,53368184
Riyaz ,Tiktok,44900000
Rihanna ,Twitter,106989611
Rihanna,Youtube,39500000
rezendeevil,Youtube,29600000
Reuters ,Twitter,25458860
Reborn Live ,Twitch,2174515
Real Madrid CF ,Instagram,123177126
Real Madrid CF ,Twitter,43764644
RanbooLive ,Twitch,4369464
Rahul Gandhi ,Twitter,21305498
Raffi Ahmad and Nagita Slavina ,Instagram,63437657
QuackityHQ ,Twitch,3089706
Q Park ,Tiktok,31200000
psg ,Tiktok,27300000
PRIYANKA ,Twitter,27790361
Priyanka ,Instagram,80986405
President Biden ,Twitter,24387765
Premier League ,Instagram,58541952
Premier League ,Twitter,34315514
pqueen ,Twitch,2068579
pokimane ,Twitch,8500996
PMO India ,Twitter,49814762
PlayStation ,Twitter,26347317
Pinkfong Baby Shark  Kids Songs and Stories,Youtube,59300000
Philza ,Twitch,4074041
Pewdiepie ,Twitch,1345762
