Profile,Platform,Posts
5 Minute Crafts,Youtube,5575
9GAG Go Fun The World ,Instagram,30005
A4,Youtube,644
Aaj Tak,Youtube,195974
ABP NEWS,Youtube,224084
ABS CBN Entertainment,Youtube,179359
Addison Rae ,Tiktok,1683
Adele ,Twitter,368
adrilatinatv ,Tiktok,2776
Akshay Kumar ,Twitter,41372
Akshay Kumar ,Instagram,1881
Alan Walker,Youtube,318
Alia Bhatt ,Twitter,5575
Alia Bhatt ,Instagram,1833
Alicia Keys ,Twitter,10867
Amit Shah ,Twitter,17092
Amitabh Bachchan ,Twitter,69352
Andres Iniesta ,Twitter,3343
Anitta ,Instagram,5135
Anushka Sharma ,Twitter,4702
AnushkaSharma1588 ,Instagram,1165
Ariana Grande,Youtube,146
Ariana Grande ,Instagram,4963
arianagrande ,Tiktok,51
Arishfa Khan,Tiktok,2016
ARRahman ,Twitter,6570
Arvind Kejriwal ,Twitter,33104
ashish chanchlani vines,Youtube,147
AuronPlay,Youtube,404
avani ,Tiktok,5936
Ayu Tingting ,Instagram,11300
BabyAriel ,Tiktok,2436
BabyBus   Kids Songs and Cartoons,Youtube,1821
Badabun,Youtube,13775
badgalriri ,Instagram,4837
BANGTANTV,Youtube,1787
Barack Obama ,Twitter,16563
Barbie ,Instagram,6343
BBC Breaking News ,Twitter,38173
BBC News (World) ,Twitter,349709
Bella ,Instagram,3152
Bella Poarch ,Tiktok,470
Benji Krol ,Tiktok,2372
Beyonce ,Instagram,2037
BIGHIT MUSIC ,Twitter,8513
Bill Gates ,Twitter,4003
BILLIE EILISH ,Instagram,695
BillionSurpriseToys   English Kids Songs and Cartoon,Youtube,511
BLACKPINK,Youtube,397
blackpinkofficial ,Tiktok,102
BREEZY ,Instagram,7322
Brent Rivera ,Tiktok,1110
BRIANDA ,Tiktok,3140
BRIGHT SIDE,Youtube,4540
Britney Spears ,Twitter,5636
Bruno Mars ,Twitter,4957
BTS ,Tiktok,54
BTS official ,Twitter,10346
BTS official ,Instagram,1092
camila ,Instagram,2888
Camilo ,Tiktok,365
Canal KondZilla,Youtube,2312
Carlos Feria ,Tiktok,4046
CarryMinati,Youtube,178
Celina Myers ,Tiktok,1399
champagnepapi ,Instagram,5212
charli Damelio ,Tiktok,2211
Chelsea FC ,Twitter,110222
Chris Brown ,Twitter,4646
Chris Hemsworth ,Instagram,851
Christoph ,Tiktok,2202
ChuChu TV Nursery Rhymes and Kids Songs,Youtube,506
CNN Breaking News ,Twitter,78179
Cocomelon   Nursery Rhymes,Youtube,786
Coldplay ,Twitter,9322
Colors TV,Youtube,87220
Conan OBrien ,Twitter,5211
Cristiano Ronaldo ,Instagram,3338
Cristiano Ronaldo ,Twitter,3808
CVS 3D Rhymes and Kids Songs,Youtube,338
cznburak ,Tiktok,1870
D A R I A NR O J A S ,Tiktok,512
Daddy Yankee,Youtube,420
Daniel LaBelle ,Tiktok,290
David Beckham ,Instagram,1537
DAVID DOBRIK ,Tiktok,594
Deepika Padukone ,Twitter,665
Deepika Padukone ,Instagram,275
Demi Lovato ,Instagram,47
Demi Lovato ,Twitter,17802
Dina ,Tiktok,406
disha patani (paatni) ,Instagram,2137
dixie ,Tiktok,472
Doja Cat ,Tiktok,123
Dominik ,Tiktok,1333
DonaldDucc ,Tiktok,2062
Dream,Youtube,110
Drizzy ,Twitter,1805
DUA LIPA ,Instagram,1259
Dude Perfect,Youtube,297
Dwayne Johnson ,Instagram,6738
Ed Sheeran,Youtube,252
Ellen DeGeneres ,Twitter,24074
Ellen DeGeneres ,Instagram,10549
Elon Musk ,Twitter,18921
elrubiusOMG,Youtube,705
EminemMusic,Youtube,140
Emma Watson ,Twitter,1853
Emma Watson ,Instagram,345
Era Ays ,Tiktok,4233
ESPN ,Twitter,131699
ESPN ,Tiktok,6492
Falloneth ,Twitter,14172
FC Barcelona ,Instagram,16952
FC Barcelona ,Twitter,125678
Felipe Neto,Youtube,3507
Fernanda,Tiktok,3560
Fernanfloo,Youtube,541
flighthouse ,Tiktok,4606
Fox News ,Twitter,486592
Gal Gadot ,Instagram,1684
Galinha Pintadinha,Youtube,62
GENIAL,Youtube,5446
Get Movies,Youtube,3960
Gigi Hadid ,Instagram,3253
Goldmines,Youtube,3933
Google ,Twitter,164650
Gordon Ramsay ,Tiktok,283
GR6 EXPLODE,Youtube,4177
Harry Styles ,Twitter,5650
Hillary Clinton ,Twitter,13548
Hrithik Roshan ,Twitter,6035
Huddy ,Tiktok,3975
HYBE LABELS,Youtube,970
Ignacia Antonia,Tiktok,5859
IndiaTV,Youtube,237651
Infobells   Hindi,Youtube,476
Instagram ,Twitter,15094
Instagram ,Instagram,7202
J ,Instagram,860
J Balvin ,Instagram,13063
jacksepticeye,Youtube,4988
Jacob Sartorius ,Tiktok,1942
Jacqueline Fernandez ,Instagram,2443
James Charles ,Tiktok,364
Jason Derulo ,Tiktok,776
JAY CROES,Tiktok,2861
JD Pantoja ,Tiktok,712
JeanCarlo Leon ,Tiktok,1607
Jennifer Lopez ,Instagram,3126
Jingle Toons,Youtube,228
JISOO,Instagram,829
Joe ,Tiktok,1919
Joe Biden ,Twitter,8371
JoJo Siwa ,Tiktok,1618
Josh Richards ,Tiktok,2177
JuegaGerman,Youtube,1959
Junya,Tiktok,3180
Justin Bieber,Youtube,247
Justin Bieber ,Tiktok,58
Justin Bieber ,Twitter,31371
Justin Bieber ,Instagram,7330
Justin Timberlake ,Instagram,784
Justin Timberlake ,Twitter,4365
Juventus ,Instagram,12633
Kaka ,Twitter,5298
Karim Benzema ,Instagram,2023
KAROL G ,Instagram,3296
Karol G ,Tiktok,51
karolsevillaofc ,Tiktok,342
Katrina Kaif ,Instagram,1005
Katy Perry,Youtube,118
KATY PERRY ,Instagram,2047
KATY PERRY ,Twitter,11715
KEEMOKAZI ,Tiktok,1629
Kendall ,Twitter,9657
Kendall ,Instagram,674
Kevin Hart ,Instagram,8211
Kevin Hart ,Twitter,41859
Kevin Hart ,Tiktok,72
Khabane lame ,Tiktok,1055
Khaby Lame ,Instagram,291
KHANDESHI MOVIES,Youtube,190
Khloe ,Twitter,67561
Khloe Kardashian ,Instagram,4104
Kika Kim ,Tiktok,1057
Kim Kardashian ,Instagram,5598
Kim Kardashian ,Twitter,35699
Kimberly Loaiza,Youtube,206
Kimberly Loaiza ,Tiktok,1923
KingBach ,Tiktok,616
Kira Kosarin ,Tiktok,1181
Kody Antle ,Tiktok,232
Kourtney Kardashian ,Twitter,14385
Kourtney Kardashian Barker ,Instagram,4352
Kris HC ,Tiktok,1329
Kunno ,Tiktok,7466
kyle thomas ,Tiktok,9213
Kylian Mbappe ,Instagram,1155
Kylie ,Instagram,6935
Kylie Jenner ,Twitter,14275
La Granja de Zenon,Youtube,557
Lady Gaga ,Instagram,3559
Lady Gaga ,Twitter,9919
Larissa Manoela ,Tiktok,718
LARRAY ,Tiktok,735
LeBron James ,Twitter,8571
Lele Pons ,Tiktok,374
Leo Messi ,Instagram,890
Leonardo DiCaprio ,Instagram,1689
Liam ,Twitter,11685
Like Nastya,Youtube,701
lil nas x ,Tiktok,771
Lil Wayne WEEZY F ,Twitter,2498
LISA ,Instagram,868
Little Baby Bum   Nursery Rhymes and Kids Songs,Youtube,1980
Liza Koshy ,Tiktok,186
lizzo ,Tiktok,1270
LooLoo Kids   Nursery Rhymes and Childrens Songs,Youtube,552
Louis Tomlinson ,Twitter,7634
LUCCAS NETO   LUCCAS TOON,Youtube,1875
Luis Fonsi,Youtube,121
Luisito Comunica,Youtube,1119
Malu Trevejo ,Tiktok,2795
MALUMA ,Instagram,8135
Manchester United ,Instagram,22777
Manchester United ,Twitter,75684
Marcelo Vieira ,Instagram,2695
Maria Clara and JP,Youtube,626
Mariah Carey ,Twitter,10671
Markiplier,Youtube,5198
Maroon 5,Youtube,163
Marshall Mathers ,Twitter,1187
Marshmello,Youtube,401
Marvel Entertainment ,Instagram,7055
Masha and The Bear,Youtube,934
Mia K ,Tiktok,489
Michael Le ,Tiktok,1270
Michelle Obama ,Twitter,1973
Mikecrack,Youtube,1725
Miley Cyrus ,Instagram,1181
Miley Cyrus ,Twitter,12116
Millie Bobby Brown ,Instagram,299
Mohamed Salah ,Instagram,841
Movieclips,Youtube,39182
Mr Bean,Youtube,2657
MrBeast,Youtube,726
MrBeast ,Tiktok,213
Naim Darrechi,Tiktok,2979
Narendra Modi ,Instagram,540
Narendra Modi ,Twitter,33650
NASA ,Instagram,3563
NASA ,Twitter,68350
National Geographic ,Instagram,27045
National Geographic ,Twitter,67046
NBA ,Instagram,50977
Neha Kakkar (Mrs Singh) ,Instagram,2286
netflixbrasil ,Twitter,73111
Neymar Jr ,Twitter,42222
Niall Horan ,Twitter,18359
Nicki Minaj ,Twitter,43401
Nike ,Instagram,948
Nisha Guragain ,Tiktok,1803
NJ ,Instagram,5271
noah beck ,Tiktok,2260
ondy mikula ,Tiktok,13200
One Direction,Youtube,157
One Direction ,Twitter,9754
Oneya DAmelio ,Tiktok,528
Oprah Winfrey ,Twitter,13580
Others,Twitter,12895
Others,Tiktok,1165
Others,Instagram,2344
Others,Tiktok,4276
