Followers,Platform,Profile
539446645,Instagram,Instagram 
473864939,Instagram,Cristiano Ronaldo 
364542529,Instagram,Kylie 
355790796,Instagram,Leo Messi 
341579063,Instagram,Selena Gomez 
333221596,Instagram,Dwayne Johnson 
328323322,Instagram,Kim Kardashian 
326473270,Instagram,Ariana Grande 
272211534,Instagram,Beyonce 
267912338,Instagram,Khloe Kardashian 
253285832,Instagram,Justin Bieber 
252632221,Instagram,Kendall 
236500488,Instagram,National Geographic 
233371786,Instagram,Nike 
222000000,Youtube,T Series
221732794,Instagram,Taylor Swift 
220169794,Instagram,Jennifer Lopez 
211074078,Instagram,Virat Kohli 
201394982,Instagram,Barbie 
194512673,Instagram,Kourtney Kardashian Barker 
180959274,Instagram,Miley Cyrus 
176935982,Instagram,NJ 
169597869,Instagram,KATY PERRY 
151581146,Instagram,Kevin Hart 
150280418,Instagram,Zendaya 
141200000,Tiktok,charli Damelio 
140000000,Youtube,Cocomelon   Nursery Rhymes
139700000,Tiktok,Khabane lame 
139000000,Youtube,SET India
138781881,Instagram,Demi Lovato 
135053892,Instagram,badgalriri 
132473746,Twitter,Barack Obama 
130398630,Instagram,Others
124943799,Instagram,Ellen DeGeneres 
123177126,Instagram,Real Madrid CF 
119117889,Instagram,champagnepapi 
117994690,Instagram,BREEZY 
114165664,Twitter,Justin Bieber 
111257233,Instagram,FC Barcelona 
111000000,Youtube,PewDiePie
