Posts,Platform,Profile
892566,Twitter,Reuters 
486592,Twitter,Fox News 
480222,Twitter,The New York Times 
349709,Twitter,BBC News (World) 
314249,Twitter,The Economist 
237651,Youtube,IndiaTV
224084,Youtube,ABP NEWS
195974,Youtube,Aaj Tak
185002,Youtube,TEDx Talks
179359,Youtube,ABS CBN Entertainment
164650,Twitter,Google 
140809,Twitter,Premier League 
131699,Twitter,ESPN 
125678,Twitter,FC Barcelona 
110222,Twitter,Chelsea FC 
91157,Youtube,SET India
87220,Youtube,Colors TV
83921,Twitter,Real Madrid CF 
78179,Twitter,CNN Breaking News 
75684,Twitter,Manchester United 
73111,Twitter,netflixbrasil 
69352,Twitter,Amitabh Bachchan 
68350,Twitter,NASA 
67561,Twitter,Khloe 
67046,Twitter,National Geographic 
63027,Youtube,WWE
60751,Youtube,Zee TV
58368,Twitter,Zendaya 
58295,Twitter,Shah Rukh Khan 
56189,Youtube,Sony SAB
54207,Instagram,snoopdogg 
50977,Instagram,NBA 
50423,Twitter,Wiz Khalifa 
46030,Twitter,YouTube 
43401,Twitter,Nicki Minaj 
43151,Twitter,Salman Khan 
42222,Twitter,Neymar Jr 
41859,Twitter,Kevin Hart 
41372,Twitter,Akshay Kumar 
40926,Twitter,PlayStation 
